Timestamp,What is your age?,Are you currently living in Zurich City?,What is your primary language?,How good is your german language skills?,What level of study are you currently pursuing?,What is your field of study?,"On a scale from 1 to 5, how would you rate your knowledge about Zurich's waste management system?","In your opinion, how often do you recycle your waste?",Do you think that Zurich's waste management system is effective?,What do you think is the biggest challenge for waste management in Zurich?,Which of these would you suggest to make the biggest improvement to the waste management system in Zurich?,Would you like to receive more information about waste management initiatives in Zurich in the future?
2024-05-13T21:09:59Z,20-25,No,German,NA,Master's,,4,Often,4,Insufficient public awareness and participation in recycling programs,Expand incentives for businesses to reduce waste,Yes
2024-05-14T11:22:34Z,Over 30,No,Romansh,1,Master's,,1,Rarely,2,Regulatory constraints limiting waste management innovation,Make sure we can get rid of all the bottles etc by foot.,No
2024-05-16T12:13:09Z,20-25,No,German,NA,Master's,,2,Often,3,to get everyone involved,Invest in new technologies for waste processing and recycling,Yes
2024-05-16T12:35:04Z,20-25,Yes,German,NA,Bachelor's,,3,Sometimes,4,Insufficient public awareness and participation in recycling programs,Invest in new technologies for waste processing and recycling,Yes
2024-05-16T12:45:18Z,26-30,Yes,English,5,Doctorial,,5,Always,1,Insufficient public awareness and participation in recycling programs,Implement more comprehensive waste sorting facilities,No
2024-05-16T12:49:28Z,26-30,Yes,German,NA,Bachelor's,,2,Often,NA,Insufficient public awareness and participation in recycling programs,Expand incentives for businesses to reduce waste,Yes
2024-05-16T12:50:18Z,26-30,Yes,German,NA,king,,2,Often,1,Lack of access / convince,Expand incentives for businesses to reduce waste,No
2024-05-16T12:55:35Z,20-25,Yes,German,NA,Bachelor's,,2,Often,2,Insufficient public awareness and participation in recycling programs,Expand incentives for businesses to reduce waste,No
2024-05-16T12:59:46Z,20-25,Yes,Romanian,4,Bachelor's,,5,Sometimes,1,You need a car to go an properly recyle everything in the waste facilities,Enhance public education and outreach on recycling,Yes
2024-05-16T13:00:28Z,20-25,Yes,Swissgerman,5,Master's,,3,Often,3,Regulatory constraints limiting waste management innovation,Invest in new technologies for waste processing and recycling,Yes
2024-05-16T13:01:07Z,26-30,Yes,French,4,Doctorial,,2,Sometimes,4,Regulatory constraints limiting waste management innovation,Allow for plastics recycling besides PET,Yes
2024-05-16T13:02:04Z,20-25,Yes,French,4,Master's,,3,Often,2,Lack of advanced recycling technologies,Implement more comprehensive waste sorting facilities,Yes
2024-05-19T18:22:42Z,20-25,Yes,German,NA,Bachelor's,,4,Often,4,Insufficient public awareness and participation in recycling programs,Enhance public education and outreach on recycling,I don't know
2024-05-22T10:46:42Z,26-30,Yes,German,NA,Doctorial,,3,Sometimes,1,Insufficient public awareness and participation in recycling programs,Invest in new technologies for waste processing and recycling,Yes
2024-05-23T11:24:39Z,20-25,Yes,German,NA,Master's,,3,Often,4,Insufficient public awareness and participation in recycling programs,make it more convenient,Yes
2024-05-23T11:33:27Z,20-25,No,portuguese,5,Bachelor's,,2,Sometimes,3,Insufficient public awareness and participation in recycling programs,Invest in new technologies for waste processing and recycling,No
2024-05-23T11:39:42Z,20-25,No,German,NA,Master's,,4,Often,4,Insufficient public awareness and participation in recycling programs,Enhance public education and outreach on recycling,No
2024-05-23T11:41:07Z,20-25,Yes,German,NA,Master's,,3,Often,2,Lack of access / convince,Introduce a garbage can for recycleable waste (like gelbe Tonne in Germany),No
2024-05-23T11:43:29Z,20-25,Yes,Italian,2,Master's,,3,Often,3,Insufficient public awareness and participation in recycling programs,Expand incentives for businesses to reduce waste,I don't know
2024-05-23T11:43:57Z,20-25,Yes,German,NA,Master's,,3,Sometimes,3,You need a car to go an properly recyle everything in the waste facilities,Make sure we can get rid of all the bottles etc by foot.,No
2024-05-23T11:47:49Z,20-25,Yes,NA,4,Master's,,3,Often,3,Regulatory constraints limiting waste management innovation,Invest in new technologies for waste processing and recycling,No
2024-05-23T12:06:38Z,20-25,Yes,German,NA,Master's,,3,Always,5,Regulatory constraints limiting waste management innovation,Invest in new technologies for waste processing and recycling,No
2024-05-23T12:07:30Z,20-25,Yes,German,NA,Master's,,2,Sometimes,1,Lack of advanced recycling technologies,Implement more comprehensive waste sorting facilities,No
2024-05-23T12:24:57Z,20-25,Yes,German,NA,Master's,,4,Often,4,Insufficient public awareness and participation in recycling programs,Expand incentives for businesses to reduce waste,I don't know
2024-05-23T13:13:00Z,26-30,Yes,German,NA,Master's,,4,Always,4,Insufficient public awareness and participation in recycling programs,Expand incentives for businesses to reduce waste,No
2024-05-23T13:24:17Z,20-25,Yes,German,NA,Bachelor's,,1,Always,3,Insufficient public awareness and participation in recycling programs,Expand incentives for businesses to reduce waste,No
2024-05-23T13:40:16Z,20-25,Yes,English,2,Master's,,3,Always,4,Insufficient public awareness and participation in recycling programs,Enhance public education and outreach on recycling,No
2024-05-23T13:40:22Z,20-25,Yes,German,NA,Master's,,2,Sometimes,4,Increasing volume of waste due to urban growth,Invest in new technologies for waste processing and recycling,No
2024-05-23T13:41:37Z,26-30,Yes,German,NA,Master's,,4,Often,2,Increasing volume of waste due to urban growth,Allow for plastics recycling besides PET,No
2024-05-23T13:46:38Z,20-25,Yes,German,NA,Master's,,2,Often,2,Insufficient public awareness and participation in recycling programs,Implement more comprehensive waste sorting facilities,No
2024-05-23T14:03:20Z,26-30,No,German,NA,Master's,,2,Often,3,Regulatory constraints limiting waste management innovation,Expand incentives for businesses to reduce waste,Yes
2024-05-23T14:17:56Z,20-25,No,German,NA,Master's,,3,Sometimes,4,Insufficient public awareness and participation in recycling programs,Enhance public education and outreach on recycling,Yes
2024-05-23T14:32:48Z,20-25,Yes,Italian,3,Master's,,1,Rarely,2,Lack of advanced recycling technologies,Invest in new technologies for waste processing and recycling,No
2024-05-23T15:29:07Z,20-25,Yes,German,NA,Master's,,4,Often,3,too inconvenient sometimes,make it more convenient,No
2024-05-23T16:00:33Z,20-25,Yes,German,NA,Master's,,3,Always,5,Insufficient public awareness and participation in recycling programs,Invest in new technologies for waste processing and recycling,Yes
